Vorname;Nachname;Jahrgang;Partei;Wahlkreis;Bundesland;Listenplatz
Walter;Kubach;1955;DIE LINKE;266;;
Klaus;Kubacki;1936;DKP;;BE;15
Stefan;Kubat;1974;FDP;;HH;12
Christian;Kubisch;1974;PIRATEN;246;;
Jürgen;Kucharczyk;1957;SPD;104;NW;30
Hartwin;Kuchler;1945;BP;;BY;5
Hans-Werner;Kuchta;1954;PBC;282;;
Bettina Irene;Kudla;1962;CDU;153;;
Thurid;Küber;1980;SPD;30;NI;29
Stephan;Kühn;1979;GRÜNE;161;SN;2
Helga;Kühn-Mengel;1947;SPD;93;NW;19
Steffen;Kühne;1981;DIE LINKE;63;BB;8
Hans-Gerd Lutz;Kühnel;1953;MLPD;;NW;17
Marcus;Kührt;1983;BüSo;160;SN;1
Heinz Hans Hermann;Kühsel;1949;DIE LINKE;36;NI;33
Renate;Künast;1955;GRÜNE;82;BE;1
Jutta Maria Irene;Künstle;1939;PBC;;BY;13
Dr. Hermann;Kues;1949;CDU;32;NI;4
Jörg-Friedrich;Küster;1964;DIE LINKE;32;NI;17
Max;Kuhlmann;1985;VIOLETTEN;;BE;5
Dr. Arnd;Kuhn;1957;GRÜNE;99;NW;26
Fritz;Kuhn;1955;GRÜNE;274;BW;2
Klaus Dieter Kurt;Kuhn;1955;DVU;;BB;1
Rudolf;Kujath;1942;SPD;86;BE;10
Ute;Kumpf;1947;SPD;259;BW;7
Katrin;Kunert;1964;DIE LINKE;67;ST;3
Willibert;Kunkel;1950;NPD;89;NW;8
Cornelia;Kunkis-Becker;1960;GRÜNE;286;;
Ernst Jakob;Kuntz;1949;DIE LINKE;212;;
Christian;Kunz;1978;DIE LINKE;;ST;10
Viktor;Kunz;1979;;209;;
Bayram;Kurnaz;1969;;54;;
Günter;Kursawe;1959;NPD;238;;
Wolfgang Wilhelm;Kurtenbach;1940;RRP;;NW;1
Markus;Kurth;1966;GRÜNE;143;NW;6
Patrick;Kurth;1976;FDP;191;TH;1
Undine;Kurth;1951;GRÜNE;69;ST;1
Matthias;Kurz;1984;PIRATEN;;SL;3
Dietmar;Kuschke;1967;DIE LINKE;231;;
Monika;Kuske;1957;MLPD;;ST;1
Rolf;Kutzmutz;1947;DIE LINKE;62;;
Benedikt;Laame;1984;FDP;;NW;48
Sebastian;Laaser;1981;SPD;;NW;68
Claire;Labigne;1950;GRÜNE;;HE;25
Christa;Labouvie;1956;GRÜNE;;MV;3
Carsten;Labudda;1975;DIE LINKE;274;;
Günter;Lach;1954;CDU;52;NI;27
Daniel;Lachmann;1980;NPD;177;HE;3
Peter Christian Harri;Lachmann;1941;RRP;222;BY;4
Richard;Ladewig;1966;FDP;220;BY;34
Andreas Gottfried;Lämmel;1959;CDU;160;SN;8
Uwe;Lämmel;1959;GRÜNE;135;;
Rosemarie;Lämmer;1954;REP;;HE;1
Jean Dominique;Länge;1974;ödp;;BW;7
Mike;Lätzsch;1967;DIE LINKE;;SN;14
Oskar;Lafontaine;1943;DIE LINKE;;SL;1
Erhard;Lahni;1965;FAMILIE;;BY;11
Christine;Lambrecht;1965;SPD;188;HE;6
Dr. Karl;Lamers;1951;CDU;274;BW;10
Prof. Dr. Norbert;Lammert;1948;CDU;141;NW;1
Hans;Lampl;1941;RRP;216;BY;2
Monika;Lamprecht;1946;;236;;
Stefan;Lanari;1959;DIE LINKE;;SH;7
Dr. Peter;Landauer;1951;;221;;
Barbara Katharina;Landgraf;1954;CDU;155;SN;5
Heinz;Lanfermann;1950;FDP;61;BB;1
Peter;Lang;1940;ADM;;BW;3
Rudolf;Lang;1953;ödp;247;BY;7
Jürgen;Langanki;1972;REP;249;BY;15
Christian;Lange;1964;SPD;269;BW;4
Cornelia;Lange;1959;CDU;;HE;29
Hans-Jürgen;Lange;1936;;268;;
Helmut Walter Wolfgang;Lange;1952;MLPD;55;HB;1
Robert;Lange;1980;PIRATEN;;HE;5
Ulrich;Lange;1969;CSU;254;;
Volker Rainer Hartmut;Lange;1967;SPD;;NI;50
Wanja Max;Lange;1987;MLPD;;HB;3
Jörn;Langefeld;1964;FDP;91;NW;52
Doreen;Langen;1979;NPD;241;;
Heidemarie Regine Elke (Heidi);Langensiepen;1944;FDP;;RP;18
Michael;Langer;1962;REP;;HE;6
Dr. Vera Isabella;Langer;1978;FDP;185;HE;12
Iris;Langguth;1959;GRÜNE;298;;
Rita;Lanius-Heck;1959;CDU;;RP;25
Barbara Maria;Lanzinger;1954;CSU;;BY;23
Dr. Jürgen Hans;Lapsien;1957;ödp;;NW;10
Dr. Hartmut;Lardon;1953;FDP;209;RP;11
Thomas;Laubel;1978;PIRATEN;;BW;2
Paul;Lauer;1957;FDP;282;BW;31
Dieter;Lauinger;1962;GRÜNE;193;TH;2
Dennis;Laurisch;1978;PIRATEN;271;BW;1
Mario Michael;Laurischk;1975;CDU;65;BB;9
Sibylle;Laurischk;1954;FDP;284;BW;6
Dr. Conrad;Lausberg;1959;ödp;220;BY;23
Brigitte Renate;Lauterbach;1934;NPD;160;;
Prof. Dr. Karl;Lauterbach;1963;SPD;102;NW;49
Claudia Marianne;Laux;1966;GRÜNE;;RP;9
Caren Nicole;Lay;1972;DIE LINKE;157;SN;7
Monika;Lazar;1967;GRÜNE;154;SN;1
Tim;Leber;1966;FAMILIE;;SL;7
Josef;Lebmeier;1963;BüSo;;BY;7
Sebastian;Lechner;1980;CDU;44;NI;23
Thomas Gerhard;Lechner;1966;FAMILIE;;BY;15
Ulrich Werner Maria;Lechte;1977;FDP;;BY;21
Dr. Klaus;Lederer;1974;DIE LINKE;76;BE;6
Felix Paul Edgar;Lederle;1975;DIE LINKE;78;;
Bernhard;Lehle;1963;GRÜNE;263;;
Klaus;Lehmann;1935;ödp;;RP;3
Uwe;Lehmann;1959;;68;;
Dr. Max;Lehmer;1946;CSU;214;;
Erwine;Lehming;1928;NPD;95;;
Aloys;Lehmler;1951;NPD;297;SL;3
Dr. Kurt;Lehner;1967;FDP;76;BE;10
Ruben;Lehnert;1978;DIE LINKE;83;;
Sebastian;Lehrberger;1955;Freie Union;225;;
Paul;Lehrieder;1959;CSU;251;;
Harald;Leibrecht;1961;FDP;266;BW;4
Sabine;Leidig;1961;DIE LINKE;187;HE;1
Markus;Leidinger;1984;SPD;;RP;23
Prof. Dr. Felix;Leinen;1957;ödp;206;RP;2
Andreas;Lelke;1980;BüSo;;HE;4
Helmut;Lemke;1942;RENTNER;;SH;3
Michael;Lemm;1975;DIE LINKE;;TH;13
Steffen-Claudio;Lemme;1965;SPD;191;TH;3
Siegfried;Lemmermeier;1955;;254;;
Dr. Hans-Volkhard;Lempp;1964;CSU;;BY;61
Tammo;Lenger;1974;GRÜNE;26;;
Peter;Lengert;1957;DIE LINKE;;TH;12
Vera;Lengsfeld;1952;CDU;84;BE;6
Sebastian;Lenk;1982;CDU;;TH;13
Ralph;Lenkert;1967;DIE LINKE;194;TH;1
Jürgen;Lenz;1960;;168;;
Ingrid;Lenz-Aktas;1961;SPD;222;BY;36
Dr. Elke;Leonhard;1949;SPD;203;RP;12
Gino;Leonhard;1972;FDP;15;;
Sabine;Leopold;1958;MLPD;;NW;22
Helga;Lerch;1955;FDP;;RP;19
Maximilian;Leucht;1979;FDP;223;BY;23
Bernhard;Leusmann;1935;ADM;;BW;2
Michael Gerhard;Leutert;1974;DIE LINKE;163;SN;6
Sabine;Leutheusser-Schnarrenberger;1951;FDP;224;BY;1
Christopher;Lewis;1945;BüSo;;HE;6
Dr. Ursula;Leyen von der;1958;CDU;43;NI;1
Rainer;Leyendecker;1956;;271;;
Robert;Lieb;1963;REP;;BY;24
Maria;Liebeck;1957;CDU;;NW;58
Marc;Liebehenz;1977;FDP;126;NW;49
Fritz;Liebenow;1949;NPD;80;;
Werner Hans;Liebhart;1963;FDP;;BY;51
Stefan;Liebich;1972;DIE LINKE;77;BE;4
Ingbert;Liebing;1963;CDU;2;SH;7
Hans Dieter;Liederwald;1964;DVU;;RP;1
Ulrike;Liedy;1960;FAMILIE;;RP;5
Lore;Lierse;1955;NPD;59;BB;6
Matthias;Lietz;1953;CDU;16;MV;3
Ulrike;Lillge;1950;BüSo;;BB;1
Dr. Wolfgang;Lillge;1950;BüSo;87;BE;3
Kai;Limmer;1978;NPD;237;;
Hendrik;Lindemann;1964;FDP;250;BY;58
Lars Friedrich;Lindemann;1971;FDP;;BE;2
Thomas;Lindemann;1980;NPD;71;;
Hans;Linden;1936;Volksabst.;;NW;4
Andrea;Lindholz;1970;CSU;;BY;29
Manuel;Lindlar;1988;DIE LINKE;102;NW;18
Andrea;Lindlohr;1975;GRÜNE;261;BW;15
Christian;Lindner;1979;FDP;101;NW;9
Dietmar;Lindner;1945;FAMILIE;;BY;14
Dr. Martin;Lindner;1964;FDP;77;BE;1
Tobias;Lindner;1982;GRÜNE;212;RP;6
Dr. Hildegard;Lingnau;1964;GRÜNE;198;;
Heinz Werner;Link;1957;BP;254;;
Dr. Manfred;Link;1941;RRP;253;BY;3
Michael Georg;Link;1963;FDP;267;BW;9
Peter Wigbert;Link;1963;CDU;;NI;40
Dr. Marianne Monika;Linke;1945;DIE LINKE;15;;
Dr. Carsten;Linnemann;1977;CDU;138;;
Julia;Linse;1982;CDU;;RP;19
Patricia;Lips;1963;CDU;187;HE;11
Burkhard;Lischka;1965;SPD;70;ST;2
Simon;Lissner;1958;GRÜNE;178;;
Uwe;Litfin;1958;FWD;;BB;5
Sven;Lobeck;1976;NPD;200;RP;4
Ingeborg Anna;Lobocki;1946;DVU;;SH;2
Wolfgang;Loch;1964;RRP;;SL;5
Klemens;Lockfisch;1961;NPD;;BW;4
Alfred;Loeber;1944;RENTNER;;NW;5
Max;Löffler;1988;GRÜNE;94;;
Oskar;Löffler;1960;;295;;
Christoph;Löhr;1983;PIRATEN;;RP;5
Marlene;Löhr;1985;GRÜNE;;SH;9
Markus Michael Maria;Löning;1960;FDP;84;;
Johannes;Loepelmann;1987;PIRATEN;;MV;6
Norbert;Loeper;1953;RRP;;NI;13
Bernhard Paul;Lörch;1946;ödp;;BW;9
Wolfgang;Lörcher;1963;DIE LINKE;175;;
Rudolf;Lörcks;1964;PIRATEN;;NW;5
Gabriele;Lösekrug-Möller;1951;SPD;47;NI;6
Ursula Cornelia;Lötzer;1950;DIE LINKE;96;NW;1
Dr. Gesine;Lötzsch;1961;DIE LINKE;87;BE;3
Klaus;Lohfing-Blanke;1958;;190;;
Dorothee;Lohmann;1942;MLPD;;BW;12
Roland;Lohmeier;1945;RRP;225;;
Johannes Hubertus;Lohmeyer;1964;FDP;160;;
Mario;Look;1964;ödp;;BE;2
Stefan;Lorent;1961;DIE LINKE;;BW;12
Bernd Gerhard;Lorenz;1970;NPD;240;;
Gertrud;Lorenz;1926;CDU;;BW;61
Joseph;Lorenz;1941;REP;236;;
Kathrin;Lorenz;1969;CDU;;TH;15
Kurt-Heinz;Lorsbach;1958;REP;;NW;14
Dr. Erwin Georg;Lotter;1951;FDP;253;BY;12
Hiltrud;Lotze;1958;SPD;38;NI;25
Klaus;Louis;1959;NPD;287;;
Gert;Lowack;1971;GRÜNE;237;BY;18
Dr. Jan-Marco;Luczak;1975;CDU;82;BE;7
Jochen;Luczak;1950;GRÜNE;88;NW;20
Gottfried;Ludewig;1982;CDU;77;;
Felix-Anton;Ludosan;1969;FAMILIE;;RP;4
Arne;Ludwig;1968;PIRATEN;;NI;6
Lars;Lübbe;1986;CDU;;NI;44
Andreas;Lück;1961;FDP;83;BE;7
Karl Heinz;Lüder;1943;;17;;
Kirsten;Lühmann;1964;SPD;45;NI;8
Jens;Lütke;1978;NPD;6;SH;2
David;Lukaßen;1981;GRÜNE;;HB;4
Oliver;Lukner;1970;FDP;292;BW;27
Oliver;Luksic;1979;FDP;298;SL;1
Manfred;Lurz;1945;DIE LINKE;136;;
Dr. Michael Andreas;Luther;1956;CDU;166;SN;4
Hans-Jürgen;Lutz;1948;Tierschutz;;HE;5
Janet;Lutz;1970;GRÜNE;191;;
Thomas;Lutze;1969;DIE LINKE;;SL;2
Benedikt;Lux;1981;GRÜNE;80;;
Josefa;Lux;1958;SPD;;NW;38
Stefan;Lux;1959;NPD;;BE;6
Karin;Maag;1962;CDU;259;BW;8
Herbert;Maar;1946;RRP;;BY;13
Jens;Maaß;1975;Tierschutz;;BE;6
Simone;Maaß;1967;GRÜNE;197;;
Bärbel Heike;Macamo;1961;;189;;
Wolfgang;MacGregor;1944;DIE LINKE;137;;
Andrea;Machleid;1960;NPD;73;;
Karin;Machner;1940;NPD;233;;
Robert;Macholdt;1981;PIRATEN;;HH;2
Dr. Christian Hermann;Machon;1974;CSU;;BY;43
Hermann;Mack;1953;REP;;BY;14
Dr. Roland;Mackert;1951;;266;;
Wolfgang;Mädel;1950;SPD;;SH;15
Eric;Mäncher;1965;SPD;;RP;33
David;Mändlen;1988;PIRATEN;;BY;12
Thomas;Mahlberg;1965;CDU;116;NW;36
Franz-Josef;Mai;1943;ödp;;TH;2
Susann;Mai;1967;ödp;;TH;7
Edeltraud;Maier;1938;ödp;;BW;5
Franz;Maier;1963;BüSo;213;BY;5
Norbert;Maier;1970;CDU;;BW;57
Sascha Andre;Maier;1984;NPD;127;;
Bejamin;Mair;1983;BP;;BY;28
Katrin;Mair;1981;CSU;;BY;26
Nicole;Maisch;1981;GRÜNE;169;HE;3
Dr. Karl Ernst Thomas;Maizière de;1954;CDU;156;SN;1
Thorsten;Majer;1978;SPD;266;BW;27
Eva;Majewski;1985;CDU;;BE;11
Lydia;Makhloufi;1973;BüSo;;NW;7
Agnes;Malczak;1985;GRÜNE;294;BW;11
Dr. Birgit;Malecha-Nissen;1958;SPD;6;SH;9
Hans-Jürgen;Malirs;1945;FWD;;BB;1
Anton;Maller;1957;BP;;BY;29
Roger;Mallmenn;1976;DIE LINKE;201;;
Siegfried Heinrich Eduard;Malsch;1937;RRP;;BY;18
Prof. Bodo;Manegold;1948;CDU;;BE;14
Ulrich;Manes;1946;REP;;NW;4
Michael;Mang;1981;SPD;;RP;22
Sylvia;Mang;1951;DIE LINKE;255;BY;15
Maria-Barbara;Mangold-Nietzschmann;1944;;252;;
Manuel;Mann;1979;NPD;172;;
Marco Gérard;Mantovanelli;1965;GRÜNE;132;NW;16
Nicolas;Mantseris;1970;GRÜNE;18;MV;4
Josef;Manz;1932;CDU;;BW;63
Dirk;Manzewski;1960;SPD;17;MV;3
Margitta;Marcian;1946;Tierschutz;180;HE;1
André;Markau;1964;NPD;78;;
Hans Christian;Markert;1968;GRÜNE;111;;
Alfred;Market;1953;REP;;BY;20
Steffen;Marklein;1961;GRÜNE;17;MV;6
Caren;Marks;1963;SPD;44;NI;12
Yvonne;Marmann;1976;CDU;;RP;20
Ralf;Marohn;1967;FDP;208;RP;9
Rainer;Marschall;1953;NPD;207;;
Frank;Marschner;1957;NPD;185;HE;10
Anke;Martens;1954;NPD;;HH;6
Axel;Martin;1983;PIRATEN;;NI;9
Günter;Martin;1954;;92;;
Paula;Martin;1938;PBC;;BY;10
Richard;Martin;1933;PBC;;BY;5
Guido;Martini;1973;RRP;;SL;4
Hans-Robert;Martini;1944;RRP;;SL;2
Thomas;Marwein;1958;GRÜNE;284;;
Hans-Georg;Marwitz von der;1961;CDU;60;BB;5
Peter;Marx;1956;NPD;296;;
Reinhard Helmut Anton;Maßberg;1947;BüSo;230;BY;4
Norbert;Maßon;1957;DIE LINKE;273;;
Katja;Mast;1971;SPD;279;BW;13
Dr. Willi Alfred;Mast;1947;MLPD;;NW;10
Ralf;Matheis;1969;;289;;
Gert;Mathiesen;1938;VIOLETTEN;;BY;15
Danny;Matschke;1975;NPD;82;;
Andreas;Mattfeldt;1969;CDU;35;NI;28
Hildegard;Mattheis;1954;SPD;291;BW;5
Marcella;Matthes;1983;FDP;;HE;23
Detlef;Matthiessen;1954;GRÜNE;4;SH;6
Günter;Matthiessen;1947;DIE LINKE;;HB;2
Dietmar Friedrich Heinz Gerd;Mattiat;1946;DIE LINKE;41;;
Alexandre;Maturana;1987;FDP;;SL;11
Gerwin;Matysiak;1953;SPD;;NI;46
Frank Thomas;Maul;1964;REP;;NW;6
Ulrich;Maurer;1948;DIE LINKE;259;BW;1
Michael Hans;May;1949;MLPD;;NW;6
Dr. Oliver Matthias Werner;May;1967;FDP;;SN;13
Bernhard;Mayer;1977;ödp;;BY;24
Dieter;Mayer;1938;SPD;;HE;23
Erna;Mayer;1947;Tierschutz;;HE;6
Johann;Mayer;1960;GRÜNE;235;;
Stephan Ernst Johann;Mayer;1973;CSU;213;;
Markus;Meckel;1952;SPD;58;BB;9
Wolfgang;Meckelburg;1949;CDU;124;NW;25
Axel;Mehldau;1959;PIRATEN;;BB;1
Walter Heinrich Christian;Mehring;1926;RRP;48;NI;4
Paul;Meichelböck;1960;DIE LINKE;257;;
Agnes;Meier;1965;FDP;243;BY;19
Edmund;Meier;1959;MLPD;;ST;8
Rolf;Meier;1967;DKP;84;BE;3
Sandy;Meier;1975;Tierschutz;;BE;2
Wolfgang;Meier;1942;REP;;BW;3
Horst;Meierhofer;1972;FDP;233;BY;4
Andreas;Meihsies;1960;GRÜNE;38;NI;8
Patrick;Meinhardt;1966;FDP;272;BW;7
Wolfgang;Meischner;1954;ödp;234;BY;26
Ariane Christine;Meise;1960;NPD;98;NW;14
Dr. Michael;Meister;1961;CDU;188;HE;7
Roland Matthäus;Meister;1953;MLPD;;NW;12
Albert-Claus;Meisterjahn;1939;RENTNER;;NW;7
Peter;Meiwald;1966;GRÜNE;28;NI;12
Edgar Bernhard Willibald;Meixner;1964;FDP;232;BY;18
Thomas;Melber;1965;REP;;BW;19
Wilhelm Gerhard;Melchers;1964;FDP;11;SH;6
Thomas;Melchinger;1978;PIRATEN;260;;
Christine;Melo-Plath;1956;ödp;;BY;25
Volker;Menge;1962;RRP;;HB;2
Karl;Mennicken-Martensen;1943;GRÜNE;282;;
Arend;Menssen;1966;FAMILIE;;BY;3
Dorothée Luise;Menzner;1965;DIE LINKE;52;NI;2
Lübbo;Meppen;1956;FDP;27;;
Monika Manuela Carmen;Merk;1963;DIE LINKE;79;;
Dr. Angela Dorothea;Merkel;1954;CDU;15;MV;1
Michael;Merkel;1987;;187;;
Petra;Merkel;1947;SPD;81;BE;2
Sabine;Merkelbach;1966;FDP;;HE;27
Dr. Robert;Mertel;1940;;221;;
Ulrike;Merten;1951;SPD;99;NW;22
Joseph Andreas;Mertens;1979;NPD;124;;
Bettina;Mertgen;1977;CDU;;HE;32
Ullrich;Meßmer;1954;SPD;168;HE;5
Heinz Dirk Karl;Metzner;1957;DIE LINKE;;NI;34
Barbara;Meyer;1978;MLPD;169;HE;2
Carsten;Meyer;1961;GRÜNE;;TH;4
Cora;Meyer;1979;NPD;33;;
Doris;Meyer;1957;CSU;;BY;25
Hartmut Heinrich Johann;Meyer;1956;ödp;;NI;1
Heike;Meyer;1962;CDU;;HE;25
Henry;Meyer;1986;BüSo;;BB;4
Jens Gerd;Meyer;1957;SPD;;SH;19
Jessica;Meyer;1978;CDU;;HB;5
Laurenz;Meyer;1948;CDU;146;NW;35
Maria;Meyer;1954;MLPD;;SH;1
Michael;Meyer;1976;NPD;28;;
Reinhardt Wilhelm;Meyer;1953;MLPD;118;;
Steffen-Werner;Meyer;1970;SPD;;SL;14
Torsten;Meyer;1956;DVU;;BE;1
Wolfgang;Meyer;1941;Volksabst.;;NW;7
Andrea Erika Gesche Elisabeth;Meyer-Garbe;1967;SPD;;NI;49
Leo;Meyer-Giesow;1970;ödp;218;BY;27
Joachim;Meyer-Heithius;1955;DIE LINKE;;NI;15
Bernd;Meyerding;1949;ödp;;HH;10
Axel;Michaelis;1965;NPD;236;BY;7
Ursula;Michalak;1952;CDU;;SH;18
Maria Ludwiga;Michalk;1949;CDU;157;SN;3
Dr. Marna;Michel;1966;CDU;;SH;23
Dr. Charlotte;Michel-Biegel;1952;GRÜNE;280;;
Hans;Michelbach;1949;CSU;238;BY;17
Matthäus;Michlbauer;1966;BüSo;;BY;12
Dr. Mathias;Middelberg;1964;CDU;40;NI;14
Andrea;Miehling;1984;BP;;BY;30
Dr. Matthias;Miersch;1968;SPD;48;NI;10
Walter;Mini;1952;DIE LINKE;223;BY;24
Wilhelm;Minschke;1943;FDP;156;;
Richard;Miosga;1944;NPD;;BE;9
Evmarie-Gertrud;Mischau;1958;MLPD;;BY;12
Reinhard;Mischuda;1951;REP;;BB;3
Günter;Miß;1954;ödp;228;BY;28
Philipp;Mißfelder;1979;CDU;122;NW;16
Kim-Sun;Mo;1978;PIRATEN;;RP;6
Kerstin;Mock-Hofeditz;1966;GRÜNE;;SH;11
Mona;Model;1983;FDP;;HE;35
Klaus-Dieter Alfred August;Möhle;1952;GRÜNE;56;HB;2
Cornelia;Möhring;1960;DIE LINKE;5;SH;1
Dr. Oliver;Möllenstädt;1978;FDP;56;HB;2
Katrin;Möller;1967;DIE LINKE;;BE;11
Kornelia;Möller;1961;DIE LINKE;228;BY;3
Michael;Möller;1962;ZENTRUM;;NW;2
Olaf;Möller;1962;GRÜNE;194;;
Silke;Möller;1966;;192;;
Jan;Mönikes;1970;SPD;265;;
Frank;Mörsch;1971;CDU;;RP;21
Edith;Mörtel;1954;VIOLETTEN;;BY;4
Doris;Moezer;1948;VIOLETTEN;;BY;7
Ursula;Mogg;1953;SPD;200;RP;10
Hans-Jürgen Wilhelm;Mohme;1940;RRP;;NI;10
Sebastian;Mohr;1982;PIRATEN;;BY;10
Dr. Rita-Maria Marianne Margareta Luzia;Mohr-Lüllmann;1957;CDU;55;HB;3
Claus;Mohrmann;1969;FDP;57;BB;4
Christoph;Mohs;1971;BüSo;;BW;2
Hubertus;Mohs;1939;BüSo;258;BW;3
Helga Gabriele;Molitor;1962;FDP;93;NW;18
Dominik;Moll;1982;SPD;;SL;18
Viola;Moll;1952;CDU;;BW;52
Dietrich;Monstadt;1957;CDU;13;MV;4
Jerzy;Montag;1947;GRÜNE;220;BY;6
Monika;Moritz;1952;SPD;;SL;27
Adrian;Mork;1967;GRÜNE;146;;
Marlene;Mortler;1955;CSU;246;BY;10
Volker Peter;Mosblech;1955;CDU;117;NW;49
Christian;Moser;1977;CSU;;BY;24
Dr. Albrecht;Moslehner;1956;FDP;123;;
Rudolf;Motter;1951;DVU;;NW;5
Daniel;Mouratidis;1977;GRÜNE;264;;
Niema;Movassat;1984;DIE LINKE;118;NW;8
Holger;Mrosek;1971;GRÜNE;114;;
Jan;Mücke;1973;FDP;161;SN;1
Mark;Mühlbeyer;1986;CDU;;BW;50
Dr. Otto Stephan;Mühleck;1953;ödp;;BW;3
Christine;Mühler-Aumann;1954;PBC;;BW;5
Daniel;Mühlhäuser;1977;PBC;;BY;3
Jan;Mühlmann-Skupien;1968;FDP;63;BB;9
Marko;Mühlstein;1974;SPD;67;ST;4
Adrian;Müller;1974;PIRATEN;;SH;2
Alexander;Müller;1969;FDP;178;HE;14
Dr. Alice;Müller;1976;CDU;;HE;22
Andreas;Müller;1964;DIE LINKE;;HE;10
Andreas;Müller;1959;DIE LINKE;89;;
Anja;Müller;1973;DIE LINKE;190;TH;7
Dr. Axel;Müller;1944;GRÜNE;57;;
Bernhard;Müller;1951;DIE LINKE;20;;
Carsten;Müller;1970;CDU;51;NI;20
Detlef;Müller;1964;SPD;163;SN;9
Farid;Müller;1962;GRÜNE;19;;
Dr. Gerd;Müller;1955;CSU;256;BY;11
Hans;Müller;1952;BüSo;;HE;3
Heiko;Müller;1972;PIRATEN;;RP;2
Dr. Josef;Müller;1954;SPD;;BY;54
Kerstin;Müller;1963;GRÜNE;96;NW;9
Klaus;Mueller;1980;PIRATEN;;BY;2
Marcus;Müller;1972;NPD;155;;
Michael;Müller;1948;SPD;107;NW;20
Nadine;Müller;1983;CDU;298;SL;3
Nikolas;Müller;1947;RENTNER;;NW;1
Petra;Müller;1960;FDP;88;NW;14
Roland;Müller;1941;NPD;293;;
Stefan;Müller;1975;CSU;242;BY;9
Thomas;Müller;1954;ödp;;BY;5
Tino;Müller;1978;NPD;18;MV;2
Veit-Harald;Müller;1941;MLPD;182;HE;1
Vincent;Müller;1990;GRÜNE;195;TH;5
Beate;Müller-Gemmeke;1960;GRÜNE;289;BW;5
Esther;Müller-Horn;1968;MLPD;;NW;18
Kai;Müller-Horn;1944;MLPD;107;;
Wolfgang;Müller-Kallweit;1967;CDU;24;HH;6
Renate;Müller-Loennies;1944;CDU;;SH;27
Burkhardt;Müller-Sönksen;1959;FDP;21;HH;1
Michael;Münch;1969;DVU;;HE;1
Hans-Joachim;Münd;1962;REP;;HE;9
Arno;Münster;1956;SPD;;HH;7
Franz;Müntefering;1940;SPD;;NW;1
Susanne;Münz;1967;;58;;
Volkmar;Münz;1965;;18;;
Dr. Rolf;Mützenich;1959;SPD;96;NW;67
Marc;Mulia;1969;DIE LINKE;116;NW;12
Gesine;Multhaupt;1963;SPD;28;NI;21
Margit;Munk;1984;CSU;;BY;30
Enno;Munzel;1990;;80;;
Dr. Philipp;Murmann;1964;CDU;6;SH;10
Michael;Musil;1947;GRÜNE;205;;
Özcan;Mutlu;1968;GRÜNE;;BE;4
Ralf;Mynter;1960;NPD;251;;
Georg;Nägle;1964;;84;;
Christof;Nagel;1986;CDU;;BW;47
Erich;Nagel;1941;;31;;
Otto;Nagel;1942;NPD;263;;
Mike;Nagler;1978;DIE LINKE;154;SN;12
Andrea;Nahles;1970;SPD;199;RP;1
Renate;Narayan;1943;ödp;132;;
Jürgen;Nass;1973;;270;;
Traugott;Nassauer;1949;MLPD;;RP;2
Denny;Naterski;1980;NPD;;NI;6
Kersten;Naumann;1958;DIE LINKE;191;TH;3
Peter;Naumann;1952;NPD;162;;
Ralph Otto;Naumann;1961;;84;;
Horst-Bruno;Nehring;1946;PBC;;BW;6
Alexander;Neidlein;1975;NPD;291;;
Wolfgang;Neskovic;1948;DIE LINKE;65;BB;4
Ingrid;Nestle;1977;GRÜNE;1;SH;1
Günther;Nestmann;1943;REP;;BE;4
Mona;Neubaur;1977;GRÜNE;107;;
Reinhard;Neudorfer;1946;DIE LINKE;264;BW;10
Anton;Neumaier;1947;BP;;BY;31
Bernd Otto;Neumann;1942;CDU;56;HB;1
Björn;Neumann;1978;DVU;;HH;2
Jürgen;Neumann;1945;NPD;47;;
Prof. Dr. Martin;Neumann;1956;FDP;65;BB;2
Dr. Peter;Neumann;1956;CDU;;BW;54
Reiner;Neumann;1971;GRÜNE;116;NW;28
Ute Vibeke;Neumann;1954;;46;;
Anja;Neumayer;1976;BP;;BY;32
Dr. Franz Josef;Neumayer;1953;FDP;;BY;40
Andreas;Neuner;1968;FDP;244;BY;38
Thomas Ulrich;Neuschwander;1965;FAMILIE;;SL;2
Jürgen;Ney;1940;REP;;NW;8
Narziss;Nianur;1964;MLPD;;HH;4
Vera;Niazi-Shahabi;1950;DIE LINKE;22;;
Erika;Nickel;1950;CDU;;RP;32
Margarete;Nickel;1946;FAMILIE;209;RP;1
Otto Lothar;Nickel;1937;FAMILIE;;RP;8
Gabriele Monika Karin;Nicklis;1957;PBC;;RP;4
Reinhard Erich;Nickoleit;1947;RRP;;BY;20
Dirk;Niebel;1963;FDP;274;BW;2
Josef;Niederländer;1950;CM;;BY;4
Franz;Niedermayr;1960;FDP;215;BY;35
Kornelia;Niedermeier;1965;Volksabst.;;BW;3
Gerd;Nier;1947;DIE LINKE;54;NI;8
Dietmar;Nietan;1964;SPD;91;NW;11
Werner;Niggemann;1949;MLPD;;HH;5
Manfred;Nink;1950;SPD;204;RP;7
Ulrike;Nissen;1959;SPD;183;HE;20
Valérie Vivienne;Nitsche;1963;GRÜNE;;NW;31
Inga;Nitz;1979;DIE LINKE;56;;
Franz;Noffke;1951;REP;237;;
Michaela;Noll;1959;CDU;105;NW;18
